Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.259071	1	0	1	-172.636
0.26	1	0	1	-172.636
0.263	1	0	1	-172.636
0.263071	1	0	1	-172.636
0.264	1	0	1	-172.636
0.264071	1	0	1	-172.636
0.265	1	0	1	-172.636
0.268	1	0	1	-172.636
0.268071	1	0	1	-172.636
0.269	1	0	1	-172.636
0.269071	1	0	1	-172.636
0.27	1	0	1	-172.636
0.273	1	0	1	-172.636
0.273071	1	0	1	-172.636
0.274	1	0	1	-172.636
0.274071	1	0	1	-172.636
0.275	1	0	1	-172.636
0.278	1	0	1	-172.636
0.278071	1	0	1	-172.636
0.279	1	0	1	-172.636
0.279071	1	0	1	-172.636
0.28	1	0	1	-172.636
0.283	1	0	1	-172.636
0.283071	1	0	1	-172.636
0.284	1	0	1	-172.636
0.284071	1	0	1	-172.636
0.285	1	0	1	-172.636
0.288	1	0	1	-172.636
0.288071	1	0	1	-172.636
0.289	1	0	1	-172.636
0.289071	1	0	1	-172.636
0.29	1	0	1	-172.636
0.293	1	0	1	-172.636
0.293071	1	0	1	-172.636
0.294	1	0	1	-172.636
0.294071	1	0	1	-172.636
0.295	1	0	1	-172.636
0.298	1	0	1	-172.636
0.298071	1	0	1	-172.636
0.299	1	0	1	-172.636
0.299071	1	0	1	-172.636
0.3	1	0	1	-172.636
0.304	1	0	1	-172.636
0.304071	1	0	1	-172.636
0.305	1	0	1	-172.636
0.309	1	0	1	-172.636
0.309071	1	0	1	-172.636
0.31	1	0	1	-172.636
0.315	1	0	1	-172.636
0.32	1	0	1	-172.636
0.325	1	0	1	-172.636
0.33	1	0	1	-172.636
0.335	1	0	1	-172.636
0.34	1	0	1	-172.636
0.344	1	0	1	-172.636
0.345	1	0	1	-172.636
0.35	1	0	1	-172.636
0.355	1	0	1	-172.636
0.36	1	0	1	-172.636
0.365	1	0	1	-172.636
0.37	1	0	1	-172.636
0.375	1	0	1	-172.636
0.38	1	0	1	-172.636
0.385	1	0	1	-172.636
0.39	1	0	1	-172.636
0.395	1	0	1	-172.636
0.4	1	0	1	-172.636
0.405	1	0	1	-172.636
0.41	1	0	1	-172.636
0.415	1	0	1	-172.636
0.42	1	0	1	-172.636
0.424	1	0	1	-172.636
0.425	1	0	1	-172.636
0.43	1	0	1	-172.636
0.435	1	0	1	-172.636
0.44	1	0	1	-172.636
0.445	1	0	1	-172.636
0.45	1	0	1	-172.636
0.455	1	0	1	-172.636
0.46	1	0	1	-172.636
0.465	1	0	1	-172.636
0.47	1	0	1	-172.636
0.475	1	0	1	-172.636
0.48	1	0	1	-172.636
0.485	1	0	1	-172.636
0.49	1	0	1	-172.636
0.495	1	0	1	-172.636
0.5	1	0	1	-172.636
0.504	1	0	1	-172.636
0.505	1	0	1	-172.636
0.51	1	0	1	-172.636
0.515	1	0	1	-172.636
0.52	1	0	1	-172.636
0.525	1	0	1	-172.636
0.53	1	0	1	-172.636
0.535	1	0	1	-172.636
0.54	1	0	1	-172.636
0.545	1	0	1	-172.636
0.55	1	0	1	-172.636
0.555	1	0	1	-172.636
0.56	1	0	1	-172.636
0.565	1	0	1	-172.636
0.57	1	0	1	-172.636
0.575	1	0	1	-172.636
0.58	1	0	1	-172.636
0.584	1	0	1	-172.636
0.585	1	0	1	-172.636
0.59	1	0	1	-172.636
0.595	1	0	1	-172.636
0.6	1	0	1	-172.636
0.605	1	0	1	-172.636
0.61	1	0	1	-172.636
0.615	1	0	1	-172.636
0.62	1	0	1	-172.636
0.625	1	0	1	-172.636
0.63	1	0	1	-172.636
0.635	1	0	1	-172.636
0.64	1	0	1	-172.636
0.645	1	0	1	-172.636
0.65	1	0	1	-172.636
0.655	1	0	1	-172.636
0.66	1	0	1	-172.636
0.664	1	0	1	-172.636
0.665	1	0	1	-172.636
0.67	1	0	1	-172.636
0.675	1	0	1	-172.636
0.68	1	0	1	-172.636
0.685	1	0	1	-172.636
0.69	1	0	1	-172.636
0.695	1	0	1	-172.636
0.7	1	0	1	-172.636
0.705	1	0	1	-172.636
0.71	1	0	1	-172.636
0.715	1	0	1	-172.636
0.72	1	0	1	-172.636
0.725	1	0	1	-172.636
0.73	1	0	1	-172.636
0.735	1	0	1	-172.636
0.74	1	0	1	-172.636
0.744	1	0	1	-172.636
0.745	1	0	1	-172.636
0.75	1	0	1	-172.636
0.755	1	0	1	-172.636
0.76	1	0	1	-172.636
0.765	1	0	1	-172.636
0.77	1	0	1	-172.636
0.775	1	0	1	-172.636
0.78	1	0	1	-172.636
0.785	1	0	1	-172.636
0.79	1	0	1	-172.636
0.795	1	0	1	-172.636
0.8	1	0	1	-172.636
0.805	1	0	1	-172.636
0.81	1	0	1	-172.636
0.815	1	0	1	-172.636
0.82	1	0	1	-172.636
0.824	1	0	1	-172.636
0.825	1	0	1	-172.636
0.83	1	0	1	-172.636
0.835	1	0	1	-172.636
0.84	1	0	1	-172.636
0.845	1	0	1	-172.636
0.85	1	0	1	-172.636
0.855	1	0	1	-172.636
0.86	1	0	1	-172.636
0.865	1	0	1	-172.636
0.87	1	0	1	-172.636
0.875	1	0	1	-172.636
0.88	1	0	1	-172.636
0.885	1	0	1	-172.636
0.89	1	0	1	-172.636
0.895	1	0	1	-172.636
0.9	1	0	1	-172.636
0.904	1	0	1	-172.636
0.905	1	0	1	-172.636
0.91	1	0	1	-172.636
0.915	1	0	1	-172.636
0.92	1	0	1	-172.636
0.925	1	0	1	-172.636
0.93	1	0	1	-172.636
0.935	1	0	1	-172.636
0.94	1	0	1	-172.636
0.945	1	0	1	-172.636
0.95	1	0	1	-172.636
0.955	1	0	1	-172.636
0.96	1	0	1	-172.636
0.965	1	0	1	-172.636
0.97	1	0	1	-172.636
0.975	1	0	1	-172.636
0.98	1	0	1	-172.636
0.984	1	0	1	-172.636
0.985	1	0	1	-172.636
0.99	1	0	1	-172.636
0.995	1	0	1	-172.636
1	1	0	1	-169.521
1.005	1	0	1	-169.521
1.01	1	0	1	-169.521
1.015	1	0	1	-169.521
1.02	1	0	1	-169.521
1.025	1	0	1	-169.521
1.03	1	0	1	-169.521
1.035	1	0	1	-169.521
1.04	1	0	1	-169.521
1.045	1	0	1	-169.521
1.05	1	0	1	-169.521
1.055	1	0	1	-169.521
1.06	1	0	1	-169.521
1.064	1	0	1	-169.521
1.065	1	0	1	-169.521
1.07	1	0	1	-169.521
1.075	1	0	1	-169.521
1.08	1	0	1	-169.521
1.085	1	0	1	-169.521
1.09	1	0	1	-169.521
1.095	1	0	1	-169.521
1.1	1	0	1	-169.521
1.105	1	0	1	-169.521
1.11	1	0	1	-169.521
1.115	1	0	1	-169.521
1.12	1	0	1	-169.521
1.125	1	0	1	-169.521
1.13	1	0	1	-169.521
1.135	1	0	1	-169.521
1.14	1	0	1	-169.521
1.144	1	0	1	-169.521
1.145	1	0	1	-169.521
1.15	1	0	1	-169.521
1.155	1	0	1	-169.521
1.16	1	0	1	-169.521
1.165	1	0	1	-169.521
1.17	1	0	1	-169.521
1.175	1	0	1	-169.521
1.18	1	0	1	-169.521
1.185	1	0	1	-169.521
1.19	1	0	1	-169.521
1.195	1	0	1	-169.521
1.2	1	0	1	-169.521
1.205	1	0	1	-169.521
1.21	1	0	1	-169.521
1.215	1	0	1	-169.521
1.22	1	0	1	-169.521
1.224	1	0	1	-169.521
1.225	1	0	1	-169.521
1.23	1	0	1	-169.521
1.235	1	0	1	-169.521
1.24	1	0	1	-169.521
1.245	1	0	1	-169.521
1.25	1	0	1	-169.521
1.255	1	0	1	-169.521
1.26	1	0	1	-169.521
1.265	1	0	1	-169.521
1.27	1	0	1	-169.521
1.275	1	0	1	-169.521
1.28	1	0	1	-169.521
1.285	1	0	1	-169.521
1.29	1	0	1	-169.521
1.295	1	0	1	-169.521
1.3	1	0	1	-169.521
1.304	1	0	1	-169.521
1.305	1	0	1	-169.521
1.31	1	0	1	-169.521
1.315	1	0	1	-169.521
1.32	1	0	1	-169.521
1.325	1	0	1	-169.521
1.33	1	0	1	-169.521
1.335	1	0	1	-169.521
1.34	1	0	1	-169.521
1.345	1	0	1	-169.521
1.35	1	0	1	-169.521
1.355	1	0	1	-169.521
1.36	1	0	1	-169.521
1.365	1	0	1	-169.521
1.37	1	0	1	-169.521
1.375	1	0	1	-169.521
1.38	1	0	1	-169.521
1.384	1	0	1	-169.521
1.385	1	0	1	-169.521
1.39	1	0	1	-169.521
1.395	1	0	1	-169.521
1.4	1	0	1	-169.521
1.405	1	0	1	-169.521
1.41	1	0	1	-169.521
1.415	1	0	1	-169.521
1.42	1	0	1	-169.521
1.425	1	0	1	-169.521
1.43	1	0	1	-169.521
1.435	1	0	1	-169.521
1.44	1	0	1	-169.521
1.445	1	0	1	-169.521
1.45	1	0	1	-169.521
1.455	1	0	1	-169.521
1.46	1	0	1	-169.521
1.464	1	0	1	-169.521
1.465	1	0	1	-169.521
1.47	1	0	1	-169.521
1.475	1	0	1	-169.521
1.48	1	0	1	-169.521
1.485	1	0	1	-169.521
1.49	1	0	1	-169.521
1.495	1	0	1	-169.521
1.5	1	0	1	-169.521
1.505	1	0	1	-169.521
1.51	1	0	1	-169.521
1.515	1	0	1	-169.521
1.52	1	0	1	-169.521
1.525	1	0	1	-169.521
1.53	1	0	1	-169.521
1.535	1	0	1	-169.521
1.54	1	0	1	-169.521
1.544	1	0	1	-169.521
1.545	1	0	1	-169.521
1.55	1	0	1	-169.521
1.555	1	0	1	-169.521
1.56	1	0	1	-169.521
1.565	1	0	1	-169.521
1.57	1	0	1	-169.521
1.575	1	0	1	-169.521
1.58	1	0	1	-169.521
1.585	1	0	1	-169.521
1.59	1	0	1	-169.521
1.595	1	0	1	-169.521
1.6	1	0	1	-169.521
1.605	1	0	1	-169.521
1.61	1	0	1	-169.521
1.615	1	0	1	-169.521
1.62	1	0	1	-169.521
1.624	1	0	1	-169.521
1.625	1	0	1	-169.521
1.63	1	0	1	-169.521
1.635	1	0	1	-169.521
1.64	1	0	1	-169.521
1.645	1	0	1	-169.521
1.65	1	0	1	-169.521
1.655	1	0	1	-169.521
1.66	1	0	1	-169.521
1.665	1	0	1	-169.521
1.67	1	0	1	-169.521
1.675	1	0	1	-169.521
1.68	1	0	1	-169.521
1.685	1	0	1	-169.521
1.69	1	0	1	-169.521
1.695	1	0	1	-169.521
1.7	1	0	1	-169.521
1.704	1	0	1	-169.521
1.705	1	0	1	-169.521
1.71	1	0	1	-169.521
1.715	1	0	1	-169.521
1.72	1	0	1	-169.521
1.725	1	0	1	-169.521
1.73	1	0	1	-169.521
1.735	1	0	1	-169.521
1.74	1	0	1	-169.521
1.745	1	0	1	-169.521
1.75	1	0	1	-169.521
1.755	1	0	1	-169.521
1.76	1	0	1	-169.521
1.765	1	0	1	-169.521
1.77	1	0	1	-169.521
1.775	1	0	1	-169.521
1.78	1	0	1	-169.521
1.784	1	0	1	-169.521
1.785	1	0	1	-169.521
1.79	1	0	1	-169.521
1.795	1	0	1	-169.521
1.8	1	0	1	-169.521
1.805	1	0	1	-169.521
1.81	1	0	1	-169.521
1.815	1	0	1	-169.521
1.82	1	0	1	-169.521
1.825	1	0	1	-169.521
1.83	1	0	1	-169.521
1.835	1	0	1	-169.521
1.84	1	0	1	-169.521
1.845	1	0	1	-169.521
1.85	1	0	1	-169.521
1.855	1	0	1	-169.521
1.86	1	0	1	-169.521
1.864	1	0	1	-169.521
1.865	1	0	1	-169.521
1.87	1	0	1	-169.521
1.875	1	0	1	-169.521
1.88	1	0	1	-169.521
1.885	1	0	1	-169.521
1.89	1	0	1	-169.521
1.895	1	0	1	-169.521
1.9	1	0	1	-169.521
1.905	1	0	1	-169.521
1.91	1	0	1	-169.521
1.915	1	0	1	-169.521
1.92	1	0	1	-169.521
1.925	1	0	1	-169.521
1.93	1	0	1	-169.521
1.935	1	0	1	-169.521
1.94	1	0	1	-169.521
1.944	1	0	1	-169.521
1.945	1	0	1	-169.521
1.95	1	0	1	-169.521
1.955	1	0	1	-169.521
1.96	1	0	1	-169.521
1.965	1	0	1	-169.521
1.97	1	0	1	-169.521
1.975	1	0	1	-169.521
1.98	1	0	1	-169.521
1.985	1	0	1	-169.521
1.99	1	0	1	-169.521
1.995	1	0	1	-169.521
